Gesamtflächenübersicht,,,,,,,,,,
Fläche,Feldfrucht,Vorfrucht,Zyklus,Kalk,Dünger,Pflügen,Walzen,Wachstum,Größe
48,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"5,44 HA"
47,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"3,57 HA"
133,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"17,54 HA"
140,SONNENBLUMEN,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,WACHSEND,"2,79 HA"
141,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"3,75 HA"
142,MAIS,MAIS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"3,87 HA"
143,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"2,86 HA"
144,SONNENBLUMEN,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,GEERNTET,"2,29 HA"
15,WEIZEN,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"17,34 HA"
54,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"13,96 HA"
57,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"6,00 HA"
62,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"1,52 HA"
63,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"5,44 HA"
64,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"2,73 HA"
165,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"1,35 HA"
166,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"2,34 HA"
167,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"2,72 HA"
168,SONNENBLUMEN,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,GEERNTET,"3,70 HA"
169,WEIZEN,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"5,12 HA"
91,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"4,15 HA"
92,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,"3,03 HA"
93,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"5,88 HA"
94,LEER,GERSTE,H1.1,NEIN,NEIN,JA,NEIN,SCHWARZ,"4,92 HA"
75,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"6,75 HA"
77,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"2,09 HA"
78,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"2,95 HA"
81,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"3,87 HA"
80,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"3,23 HA"
79,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"4,95 HA"
103,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"3,70 HA"
217,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"5,94 HA"
212,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"22,30 HA"
211,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"8,64 HA"
210,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"4,21 HA"
209,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"12,86 HA"
226,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,"4,05 HA"
207,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"11,57 HA"
208,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"10,93 HA"
178,HAFER,HAFER,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"6,06 HA"
181,HAFER,HAFER,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"9,09 HA"
205,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,"7,91 HA"
