GesamtflAEchenübersicht,,,,,,,,,,
FlAEche,Feldfrucht,Vorfrucht,Zyklus,Kalk,Dünger,Pflügen,Walzen,Wachstum,Größe
44,WEIZEN,GERSTE,H1.1,NEIN,NEIN,JA,JA,SCHWARZ,16.72
50,HAFER,SONNENBLUMEN,Z,NEIN,NEIN,JA,JA,SCHWARZ,4.47
51,WEIZEN,SONNENBLUMEN,Z,NEIN,NEIN,JA,JA,SCHWARZ,2.25
53,LEER,GERSTE,H1.1,NEIN,NEIN,JA,NEIN,SCHWARZ,9.83
52,WEIZEN,GERSTE,H1.1,NEIN,NEIN,JA,NEIN,SCHWARZ,3.19
55,RAPS,GERSTE,H1.1,NEIN,NEIN,JA,NEIN,GESAEHT,6.03
48,WEIZEN,RAPS,B1,NEIN,NEIN,JA,JA,SCHWARZ,5.44
47,WEIZEN,SOJA,B1,NEIN,NEIN,JA,JA,SCHWARZ,3.57
133,WEIZEN,RAPS,B1,NEIN,NEIN,JA,NEIN,GEERNTET,17.54
140,SONNENBLUMEN,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,WACHSEND,2.79
141,LEER,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,3.75
142,MAIS,MAIS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,3.87
143,GERSTE,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,WACHSEND,2.86
144,LEER,SONNENBLUMEN,Z,NEIN,NEIN,NEIN,NEIN,SCHWARZ,2.29
15,HAFER,WEIZEN,H1.1,NEIN,NEIN,JA,NEIN,SCHWARZ,17.34
54,RAPS,LEER,,NEIN,NEIN,JA,NEIN,GESAEHT,13.96
57,RAPS,SOJA,B1,NEIN,NEIN,JA,NEIN,GESAEHT,6.00
62,RAPS,LEER,,NEIN,NEIN,JA,NEIN,GESAEHT,1.52
63,RAPS,LEER,,NEIN,NEIN,JA,NEIN,GESAEHT,5.44
64,RAPS,LEER,,NEIN,NEIN,JA,NEIN,GESAEHT,2.73
165,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,1.35
166,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,2.34
167,KARTOFFELN,KARTOFFELN,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,2.72
168,LEER,SONNENBLUMEN,Z,NEIN,NEIN,JA,NEIN,SCHWARZ,3.70
169,LEER,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,5.12
91,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,4.15
92,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,WACHSEND,3.03
93,HAFER,GERSTE,H1.1,NEIN,NEIN,JA,JA,SCHWARZ,5.88
94,HAFER,GERSTE,H1.1,NEIN,NEIN,JA,JA,SCHWARZ,4.92
75,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,6.75
77,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,2.09
78,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,2.95
81,LEER,KARTOFFELN,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,3.87
80,LEER,LEER,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.23
79,LEER,LEER,,NEIN,NEIN,JA,NEIN,SCHWARZ,4.95
103,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,3.70
217,LEER,GERSTE,H1.1,NEIN,NEIN,NEIN,JA,SCHWARZ,5.94
212,LEER,GERSTE,H1.1,NEIN,NEIN,JA,NEIN,SCHWARZ,22.30
211,LEER,SOJA,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,8.64
210,LEER,SOJA,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,4.21
209,LEER,KARTOFFELN,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,12.86
226,LEER,LEER,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,4.05
207,LEER,RAPS,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,11.57
208,LEER,KARTOFFELN,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,10.93
178,LEER,HAFER,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,6.06
181,LEER,HAFER,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,9.09
205,LEER,RAPS,B1,NEIN,NEIN,JA,NEIN,SCHWARZ,7.91
195,LEER,WEIZEN,,NEIN,NEIN,NEIN,NEIN,SCHWARZ,4.94
35,HAFER,LEER,H2.1,NEIN,NEIN,JA,JA,GESAEHT,10.08
34,HAFER,LEER,H2.1,NEIN,NEIN,JA,JA,GESAEHT,9.02
33,HAFER,LEER,H2.1,NEIN,NEIN,JA,JA,GESAEHT,6.86
131,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,7.07
146,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.00
150,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,6.45
172,LEER,RUEBEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.12
173,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,4.12
174,LEER,RUEBEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,6.12
153,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,10.80
154,LEER,MAIS,,NEIN,NEIN,JA,NEIN,SCHWARZ,7.79
155,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,2.94
156,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,7.00
157,GRAS,GRAS,,NEIN,NEIN,JA,NEIN,GEERNTET,7.70
158,GRAS,GRAS,,NEIN,NEIN,JA,NEIN,GEERNTET,5.92
159,LEER,WEIZEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,2.34
160,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,5.86
161,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,7.96
162,LEER,GRAS,,NEIN,NEIN,JA,NEIN,SCHWARZ,1.33
183,LEER,SONNENBLUMEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,1.86
184,LEER,RUEBEN,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.45
185,GRAS,GRAS,,NEIN,NEIN,JA,NEIN,GEERNTET,4.81
186,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,1.26
187,LEER,RAPS,,NEIN,NEIN,JA,NEIN,SCHWARZ,2.92
188,LEER,HAFER,,NEIN,NEIN,JA,NEIN,SCHWARZ,2.90
189,LEER,HIRSE,,NEIN,NEIN,JA,NEIN,SCHWARZ,4.31
194,LEER,HAFER,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.89
182,GRAS,GRAS,,NEIN,NEIN,JA,NEIN,SCHWARZ,3.80
67,GRAS,GRAS,,NEIN,NEIN,JA,NEIN,REIF,1.36
65,RAPS,SOJA,,NEIN,NEIN,JA,NEIN,GESAEHT,5.31
66,LEER,HAFER,,NEIN,NEIN,JA,NEIN,SCHWARZ,5.71
